name,type,value,tags,description,read,write
/ess/config/dcm/control_param/min_customer_soc,float,0.30,"ess,config","Minimal customer SoC is used to calculate corresponding system soc threshold min_soc, should be between 0.0 and 1.0 including borders",ssm_owner,ssm_owner
/ess/config/dcm/mode_param/control_mode,str,STANDBY,"ess,config",ESS control mode,ssm_owner,ssm_owner
/metrics/network/interface_report_request,uint32,N/A,"metrics,network",Count of Network Interface Report requests,ssm_owner,ssm_owner
/net/sta0/state,str,N/A,"netstats,network,toggle_cell",sta0 interface state,ssm_owner,
/net/wan0/state,str,N/A,"netstats,network,toggle_cell",wan0 interface state,ssm_owner,
/net/wan1/state,str,N/A,"netstats,network,toggle_cell",wan1 (USB dongle ethernet adapter) interface state,ssm_owner,
/net/wwan0/state,str,N/A,"netstats,network,toggle_cell",wwan0 interface state,ssm_owner,
/network/report/send,uint16,N/A,N/A,Trigger communicator to send a network interface report,ssm_owner,ssm_owner
/sys/devices/ess/{index}/chrgLimitPmaxKw,float,0,"telemetry,ess",Maximum allowed charge power (kW),ssm_owner,
/sys/devices/ess/{index}/customerSocVal,float,0,"telemetry,ess",Customer-reported state of charge (SOC) value,ssm_owner,
/sys/devices/ess/{index}/dischrgLimPmaxKw,float,0,"telemetry,ess",Maximum allowed discharge power (kW),ssm_owner,
/sys/devices/ess/{index}/maxTBattCellDegc,float,0,"telemetry,ess",Maximum battery cell temperature (°C),ssm_owner,
/sys/devices/ess/{index}/maxVBattCellV,float,0,"telemetry,ess",Maximum battery cell voltage (V),ssm_owner,
/sys/devices/ess/{index}/minTBattCellDegc,float,0,"telemetry,ess",Minimum battery cell temperature (°C),ssm_owner,
/sys/devices/ess/{index}/minVBattCellV,float,0,"telemetry,ess",Minimum battery cell voltage (V),ssm_owner,
/sys/devices/ess/{index}/msmtEps,str,n/a,"telemetry,ess",Timestamp of the last measurement,ssm_owner,
/sys/devices/ess/{index}/negLtea3phsumKwh,float,0,"telemetry,ess",Total negative energy (kWh) over 3 phases,ssm_owner,
/sys/devices/ess/{index}/opMode,str,n/a,"telemetry,ess",Operating mode of the ESS,ssm_owner,
